"","Ensembl_ID","Symbol"
"221","MIMAT0003217","hsa-miR-554"
"222","MI0025919","hsa-mir-8083"
"223","MIMAT0031010","hsa-miR-8083"
"224","MI0022582","hsa-mir-6737"
"225","MIMAT0027375","hsa-miR-6737-5p"
"226","MIMAT0027376","hsa-miR-6737-3p"
"227","MI0019305","hsa-mir-5698"
"228","MIMAT0022491","hsa-miR-5698"
"229","MI0005545","hsa-mir-190b"
"230","MIMAT0004929","hsa-miR-190b-5p"
"231","MIMAT0037332","hsa-miR-190b-3p"
"232","MI0015857","hsa-mir-4258"
"233","MIMAT0016879","hsa-miR-4258"
"234","MI0003560","hsa-mir-92b"
"235","MIMAT0004792","hsa-miR-92b-5p"
"236","MIMAT0003218","hsa-miR-92b-3p"
"237","MI0003561","hsa-mir-555"
"238","MIMAT0003219","hsa-miR-555"
"239","MI0022583","hsa-mir-6738"
"240","MIMAT0027377","hsa-miR-6738-5p"
"241","MIMAT0027378","hsa-miR-6738-3p"
"242","MI0000466","hsa-mir-9-1"
"243","MIMAT0000441","hsa-miR-9-5p"
"244","MIMAT0000442","hsa-miR-9-3p"
"245","MI0005116","hsa-mir-765"
"246","MIMAT0003945","hsa-miR-765"
"247","MI0015858","hsa-mir-4259"
"248","MIMAT0016880","hsa-miR-4259"
"249","MI0018166","hsa-mir-5187"
"250","MIMAT0021117","hsa-miR-5187-5p"
"251","MIMAT0021118","hsa-miR-5187-3p"
"252","MI0017282","hsa-mir-4654"
"253","MIMAT0019720","hsa-miR-4654"
"254","MI0003562","hsa-mir-556"
"255","MIMAT0003220","hsa-miR-556-5p"
"256","MIMAT0004793","hsa-miR-556-3p"
"257","MI0016058","hsa-mir-3658"
"258","MIMAT0018078","hsa-miR-3658"
"259","MI0005713","hsa-mir-921"
"260","MIMAT0004971","hsa-miR-921"
"261","MI0006436","hsa-mir-1255b-2"
"262","MIMAT0005945","hsa-miR-1255b-5p"
"263","MIMAT0022725","hsa-miR-1255b-2-3p"
"264","MI0003563","hsa-mir-557"
"265","MIMAT0003221","hsa-miR-557"
"266","MI0014134","hsa-mir-3119-1"
"267","MIMAT0014981","hsa-miR-3119"
"268","MI0014135","hsa-mir-3119-2"
"269","MIMAT0014981_1","hsa-miR-3119"
"270","MI0006357","hsa-mir-1295a"
"271","MIMAT0005885","hsa-miR-1295a"
"272","MI0019146","hsa-mir-1295b"
"273","MIMAT0022293","hsa-miR-1295b-5p"
"274","MIMAT0022294","hsa-miR-1295b-3p"
"275","MI0000290","hsa-mir-214"
"276","MIMAT0004564","hsa-miR-214-5p"
"277","MIMAT0000271","hsa-miR-214-3p"
"278","MI0014136","hsa-mir-3120"
"279","MIMAT0014982","hsa-miR-3120-3p"
"280","MIMAT0019198","hsa-miR-3120-5p"
"281","MI0000281","hsa-mir-199a-2"
