"","Ensembl_ID","Symbol","Biotype"
"723","ENSG00000169641","LUZP1","protein_coding"
"727","ENSG00000179546","HTR1D","protein_coding"
"731","ENSG00000125944","HNRNPR","protein_coding"
"732","ENSG00000125945","ZNF436","protein_coding"
"736","ENSG00000204219","TCEA3","protein_coding"
"738","ENSG00000088280","ASAP3","protein_coding"
"739","ENSG00000007968","E2F2","protein_coding"
"741","ENSG00000117318","ID3","protein_coding"
"744","ENSG00000142676","RPL11","protein_coding"
"745","ENSG00000011007","ELOA","protein_coding"
"747","ENSG00000057757","PITHD1","protein_coding"
"748","ENSG00000011009","LYPLA2","protein_coding"
"749","ENSG00000117308","GALE","protein_coding"
"750","ENSG00000117305","HMGCL","protein_coding"
"751","ENSG00000179163","FUCA1","protein_coding"
"752","ENSG00000188822","CNR2","protein_coding"
"757","ENSG00000189266","PNRC2","protein_coding"
"758","ENSG00000188529","SRSF10","protein_coding"
"761","ENSG00000142661","MYOM3","protein_coding"
"763","ENSG00000142677","IL22RA1","protein_coding"
"764","ENSG00000185436","IFNLR1","protein_coding"
"767","ENSG00000158055","GRHL3","protein_coding"
"768","ENSG00000001460","STPG1","protein_coding"
"769","ENSG00000001461","NIPAL3","protein_coding"
"770","ENSG00000117602","RCAN3","protein_coding"
"772","ENSG00000184454","NCMAP","protein_coding"
"775","ENSG00000133226","SRRM1","protein_coding"
"777","ENSG00000169504","CLIC4","protein_coding"
"779","ENSG00000020633","RUNX3","protein_coding"
"787","ENSG00000117614","SYF2","protein_coding"
"790","ENSG00000117616","RSRP1","protein_coding"
"793","ENSG00000187010","RHD","protein_coding"
"796","ENSG00000183726","TMEM50A","protein_coding"
"797","ENSG00000188672","RHCE","protein_coding"
"799","ENSG00000204178","TMEM57","protein_coding"
"800","ENSG00000157978","LDLRAP1","protein_coding"
"802","ENSG00000117643","MAN1C1","protein_coding"
"804","ENSG00000162430","SEPN1","protein_coding"
"805","ENSG00000255054","RP1-317E23.6","protein_coding"
"807","ENSG00000117640","MTFR1L","protein_coding"
"809","ENSG00000127423","AUNIP","protein_coding"
"811","ENSG00000182749","PAQR7","protein_coding"
"813","ENSG00000117632","STMN1","protein_coding"
"817","ENSG00000158006","PAFAH2","protein_coding"
"821","ENSG00000158008","EXTL1","protein_coding"
"822","ENSG00000158014","SLC30A2","protein_coding"
"824","ENSG00000158022","TRIM63","protein_coding"
"825","ENSG00000175087","PDIK1L","protein_coding"
"826","ENSG00000197245","FAM110D","protein_coding"
"827","ENSG00000282872","RP11-96L14.8","protein_coding"
"828","ENSG00000236782","RP11-96L14.7","protein_coding"
"829","ENSG00000142684","ZNF593","protein_coding"
"830","ENSG00000142675","CNKSR1","protein_coding"
"831","ENSG00000188782","CATSPER4","protein_coding"
"834","ENSG00000130695","CEP85","protein_coding"
"836","ENSG00000142669","SH3BGRL3","protein_coding"
"837","ENSG00000158062","UBXN11","protein_coding"
"838","ENSG00000169442","CD52","protein_coding"
"839","ENSG00000176092","CRYBG2","protein_coding"
"841","ENSG00000176083","ZNF683","protein_coding"
"842","ENSG00000131914","LIN28A","protein_coding"
"843","ENSG00000117682","DHDDS","protein_coding"
"846","ENSG00000198830","HMGN2","protein_coding"
"848","ENSG00000117676","RPS6KA1","protein_coding"
